code,industry,stockratio,initialPE
LYB,Materials,1.51,6.17
AZO,Consumer Discretionary,1.5,21.11
NKE,Consumer Discretionary,1.49,30.35
HES,Energy,1.49,0
PNR,Industrials,1.48,11.87
WELL,Real Estate,1.47,22.78
KO,Consumer Staples,1.47,21.83
DIS,Communication Services,1.46,18.5
HST,Real Estate,1.46,16.9
HFC,Energy,1.46,8.62
D,Utilities,1.45,17.03
EIX,Utilities,1.45,16
RHI,Industrials,1.45,15.78
CB,Financials,1.45,12.16
RCL,Consumer Discretionary,1.44,30.39
FFIV,Information Technology,1.44,18.97
PPG,Materials,1.44,17.65
XRX,Information Technology,1.44,14.06
ADM,Consumer Staples,1.43,10.39
IP,Materials,1.42,13.79
UDR,Real Estate,1.41,24.83
PFE,Health Care,1.41,20.24
T,Communication Services,1.41,10.87
PFG,Financials,1.41,9.1
ESS,Real Estate,1.4,59.47
L,Financials,1.4,55.74
CI,Health Care,1.4,18.18
FANG,Energy,1.4,0
EXR,Real Estate,1.39,46.61
STZ,Consumer Staples,1.39,25.97
ALB,Materials,1.39,17.31
GPC,Consumer Discretionary,1.39,15.92
APTV,Consumer Discretionary,1.39,13.49
GD,Industrials,1.39,13.47
TWTR,Communication Services,1.39,0
CHRW,Industrials,1.38,15.71
UPS,Industrials,1.38,15.37
LH,Health Care,1.37,29.09
LEG,Consumer Discretionary,1.37,15.51
MET,Financials,1.36,7.79
HOLX,Health Care,1.35,59.52
GS,Financials,1.35,13.74
ULTA,Consumer Discretionary,1.34,37.41
CLX,Consumer Staples,1.34,21.39
EBAY,Consumer Discretionary,1.33,18.66
CF,Materials,1.33,11.69
TRV,Financials,1.33,9.21
MDLZ,Consumer Staples,1.33,9.12
PRU,Financials,1.33,5.46
EFX,Industrials,1.32,29.5
BK,Financials,1.32,13.5
MPC,Energy,1.32,8.22
HRL,Consumer Staples,1.31,24.04
AOS,Industrials,1.31,22.4
MMM,Industrials,1.31,17.17
EMN,Materials,1.31,10.29
EQR,Real Estate,1.3,25.37
STT,Financials,1.3,13.09
LUV,Industrials,1.3,12.7
AVB,Real Estate,1.29,28.31
MNST,Consumer Staples,1.28,53.2
PPL,Utilities,1.28,26.53
LNC,Financials,1.28,9.75
SYF,Financials,1.27,10.25
GM,Consumer Discretionary,1.27,4.73
FLS,Industrials,1.26,19.14
DAL,Industrials,1.26,8.18
FBHS,Industrials,1.24,26.99
KMB,Consumer Staples,1.23,39.4
CERN,Health Care,1.23,38.11
VTR,Real Estate,1.23,34.93
DISCA,Communication Services,1.23,16.89
PBCT,Financials,1.23,14.85
UHS,Health Care,1.22,17.42
EOG,Energy,1.22,0
PXD,Energy,1.22,0
DISCK,Communication Services,1.21,15.96
OMC,Communication Services,1.21,14.53
PEAK,Real Estate,1.21,0
BXP,Real Estate,1.2,29.52
LKQ,Consumer Discretionary,1.2,21.47
WDC,Information Technology,1.2,10.7
WY,Real Estate,1.18,28.25
LEN,Consumer Discretionary,1.18,14.43
IFF,Materials,1.17,21.2
PM,Consumer Staples,1.17,15.38
WMB,Energy,1.17,0
TSCO,Consumer Discretionary,1.16,26.58
RL,Consumer Discretionary,1.15,18.24
IBM,Information Technology,1.15,8.23
CL,Consumer Staples,1.14,39.01
IPG,Communication Services,1.14,17.5
MRO,Energy,1.14,0
WHR,Consumer Discretionary,1.13,12.89
WAB,Industrials,1.12,16.84
WFC,Financials,1.12,11.05
NWSA,Communication Services,1.12,0
K,Consumer Staples,1.09,35.48
NWS,Communication Services,1.09,0
DVA,Health Care,1.08,56.67
AAP,Consumer Discretionary,1.07,23.17
GIS,Consumer Staples,1.07,19.77
SNA,Industrials,1.07,18.96
TXT,Industrials,1.07,16.59
BWA,Consumer Discretionary,1.07,14.77
REG,Real Estate,1.06,41.73
CTSH,Information Technology,1.06,21.77
FDX,Industrials,1.05,40.21
BIIB,Health Care,1.05,18.41
XOM,Energy,1.05,15.98
BMY,Health Care,1.04,61.39
MO,Consumer Staples,1.04,16.45
COG,Energy,1.02,0
CPB,Consumer Staples,1.01,21.15
CCL,Consumer Discretionary,1.01,19.51
NCLH,Consumer Discretionary,1,31.68
SJM,Consumer Staples,1,30.2
FRT,Real Estate,0.99,41.19
CAG,Consumer Staples,0.99,0
PSA,Real Estate,0.98,34.4
JNPR,Information Technology,0.97,15.27
VNO,Real Estate,0.96,18.05
PVH,Consumer Discretionary,0.96,15.36
KIM,Real Estate,0.96,10.24
UNM,Financials,0.96,8.08
XRAY,Health Care,0.95,33.38
SEE,Materials,0.95,25.36
TPR,Consumer Discretionary,0.95,21.11
VIAC,Communication Services,0.94,14.89
SLG,Real Estate,0.92,33.52
AIG,Financials,0.91,38.15
SPG,Real Estate,0.91,28.67
EXPE,Consumer Discretionary,0.9,20.7
ALK,Industrials,0.9,11.35
ABC,Health Care,0.88,60.12
BKR,Energy,0.87,0
BEN,Financials,0.85,9.25
MOS,Materials,0.85,9.12
F,Consumer Discretionary,0.85,6.5
DVN,Energy,0.85,0
HSIC,Health Care,0.84,27.75
CVS,Health Care,0.84,18.26
INCY,Health Care,0.81,0
WBA,Consumer Staples,0.78,17.72
HAL,Energy,0.78,0
NOV,Energy,0.78,0
FTI,Energy,0.77,16.15
LUMN,Communication Services,0.77,9.83
OXY,Energy,0.74,0
MCK,Health Care,0.73,22.45
MHK,Consumer Discretionary,0.72,22.85
GILD,Health Care,0.72,7.23
KR,Consumer Staples,0.71,16.87
AAL,Industrials,0.71,3.58
REGN,Health Care,0.69,98.52
GPS,Consumer Discretionary,0.69,9.52
SLB,Energy,0.66,36.7
APA,Energy,0.64,0
TAP,Consumer Staples,0.63,43.98
CAH,Health Care,0.63,18.7
IVZ,Financials,0.63,11.8
DISH,Communication Services,0.62,35.52
HBI,Consumer Discretionary,0.56,23.83
UAA,Consumer Discretionary,0.54,74.36
NLSN,Industrials,0.51,25.53
NWL,Consumer Discretionary,0.49,28.36
GE,Industrials,0.41,0
VTRS,Health Care,0.37,32.57
PRGO,Health Care,0.37,0
LB,Consumer Discretionary,0.22,18.82
CBOE,Financials,0,25.51
