code,name,industry
HLT,hilton-worldwide-holdings,Consumer Discretionary
HFC,hollyfrontier,Energy
HOLX,hologic,Health Care
HD,home-depot,Consumer Discretionary
HON,honeywell-intl,Industrials
HRL,hormel-foods,Consumer Staples
HST,host-hotels-resorts,Real Estate
HWM,howmet-aerospace,Industrials
HPQ,hp,Information Technology
HUM,humana,Health Care
HBAN,huntington-bancshares,Financials
HII,huntington-ingalls-industries,Industrials
IEX,idex,Industrials
IDXX,idexx,Health Care
INFO,ihs-markit,Industrials
ITW,illinois-tool-works,Industrials
ILMN,illumina,Health Care
INCY,incyte,Health Care
IR,ingersoll-rand,Industrials
INTC,intel,Information Technology
ICE,intercontinental-exchange,Financials
IBM,international-business-machines,Information Technology
IP,international-paper,Materials
IPG,interpublic-group,Communication Services
IFF,international-flavors-fragrances,Materials
INTU,intuit,Information Technology
ISRG,intuitive-surgical,Health Care
IVZ,invesco,Financials
IPGP,ipg-photonics,Information Technology
IQV,iqvia-holdings,Health Care
IRM,iron-mountainorporated,Real Estate
JKHY,jack-henry-associates,Information Technology
J,jacobs-engineering-group,Industrials
JBHT,j-b-hunt-transport-services,Industrials
SJM,jm-smucker,Consumer Staples
JNJ,johnson-johnson,Health Care
JCI,johnsonntrols-international,Industrials
JPM,jpmorgan-chase,Financials
JNPR,juniper-networks,Information Technology
KSU,kansas-city-southern,Industrials
K,kellogg,Consumer Staples
KEY,keycorp,Financials
KEYS,keysight-technologies,Information Technology
KMB,kimberly-clark,Consumer Staples
KIM,kimco-realty,Real Estate
KMI,kinder-morgan,Energy
KLAC,kla,Information Technology
KHC,kraft-heinz,Consumer Staples
KR,kroger,Consumer Staples
LB,l-brands,Consumer Discretionary
LHX,l3harris-technologies,Industrials
LH,laboratory-of-america-holding,Health Care
LRCX,lam-research,Information Technology
LW,lamb-weston-holdings,Consumer Staples
LVS,las-vegas-sands,Consumer Discretionary
LEG,leggett-platt,Consumer Discretionary
LDOS,leidos-holdings,Information Technology
LEN,lennar,Consumer Discretionary
LLY,lilly-(eli),Health Care
LNC,lincoln-national,Financials
LIN,linde,Materials
LYV,live-nation-entertainment,Communication Services
LKQ,lkq,Consumer Discretionary
LMT,lockheed-martin,Industrials
L,loews,Financials
LOW,lowess,Consumer Discretionary
LUMN,lumen-technologies,Communication Services
LYB,lyondellbasell,Materials
MTB,m&t-bank,Financials
MRO,marathon-oil,Energy
MPC,marathon-petroleum,Energy
MKTX,marketaxess,Financials
MAR,marriott-intl,Consumer Discretionary
MMC,marsh-mclennan,Financials
MLM,martin-marietta-materials,Materials
MAS,masco,Industrials
MA,mastercard,Information Technology
MKC,mccormick,Consumer Staples
MXIM,maxim-integrated-products,Information Technology
MCD,mcdonalds,Consumer Discretionary
MCK,mckesson,Health Care
MDT,medtronic,Health Care
MRK,merck,Health Care
MET,metlife,Financials
MTD,mettler-toledo,Health Care
MGM,mgm-resorts-international,Consumer Discretionary
MCHP,microchip-technology,Information Technology
MU,micron-technology,Information Technology
MSFT,microsoft,Information Technology
MAA,mid-america-apartments,Real Estate
MHK,mohawk-industries,Consumer Discretionary
TAP,molsonors-beverage,Consumer Staples
MDLZ,mondelez-international,Consumer Staples
MNST,monster-beverage,Consumer Staples
MCO,moodys,Financials
MS,morgan-stanley,Financials
MOS,the-mosaic,Materials
MSI,motorola-solutions,Information Technology
MSCI,msci,Financials
NDAQ,nasdaq,Financials
NTAP,netapp,Information Technology
NFLX,netflix,Communication Services
NWL,newell-brands,Consumer Discretionary
NEM,newmont,Materials
NWSA,news,Communication Services
NWS,news,Communication Services
NEE,nextera-energy,Utilities
NLSN,nielsen-holdings,Industrials
NKE,nike,Consumer Discretionary
NI,nisource,Utilities
NSC,norfolk-southern,Industrials
NTRS,northern-trust,Financials
NOC,northrop-grumman,Industrials
NLOK,nortonlifelock,Information Technology
NCLH,norwegian-cruise-line-holdings,Consumer Discretionary
NOV,nov,Energy
NRG,nrg-energy,Utilities
NUE,nucor,Materials
NVDA,nvidia,Information Technology
NVR,nvr,Consumer Discretionary
ORLY,oreilly-automotive,Consumer Discretionary
OXY,occidental-petroleum,Energy
ODFL,old-dominion-freight-line,Industrials
OMC,omnicom-group,Communication Services
OKE,oneok,Energy
ORCL,oracle,Information Technology
OTIS,otis-worldwide,Industrials
PCAR,paccar,Industrials
PKG,packaging-of-america,Materials
PH,parker-hannifin,Industrials
PAYX,paychex,Information Technology
PAYC,paycom,Information Technology
PYPL,paypal,Information Technology
PNR,pentair,Industrials
PBCT,peoples-united-financial,Financials
PEP,pepsico,Consumer Staples
PKI,perkinelmer,Health Care
PRGO,perrigo,Health Care
PFE,pfizer,Health Care
PM,philip-morris-international,Consumer Staples
PSX,phillips-66,Energy
PNW,pinnacle-west-capital,Utilities
PXD,pioneer-natural-resources,Energy
PNC,pnc-financial-services,Financials
POOL,pool,Consumer Discretionary
PPG,ppg-industries,Materials
PPL,ppl,Utilities
PFG,principal-financial-group,Financials
PG,procter-gamble,Consumer Staples
PGR,progressive,Financials
PLD,prologis,Real Estate
PRU,prudential-financial,Financials
PEG,public-service-enterprise-group-(pseg),Utilities
PSA,public-storage,Real Estate
PHM,pultegroup,Consumer Discretionary
PVH,pvh,Consumer Discretionary
QRVO,qorvo,Information Technology
PWR,quanta-services,Industrials
QCOM,qualcomm,Information Technology
DGX,quest-diagnostics,Health Care
RL,ralph-lauren,Consumer Discretionary
RJF,raymond-james-financial,Financials
RTX,raytheon-technologies,Industrials
O,realtyome,Real Estate
REG,regency-centers,Real Estate
REGN,regeneron-pharmaceuticals,Health Care
RF,regions-financial,Financials
RSG,republic-services,Industrials
RMD,resmed,Health Care
RHI,robert-half-international,Industrials
ROK,rockwell-automation,Industrials
ROL,rollins,Industrials
ROP,roper-technologies,Industrials
ROST,ross-stores,Consumer Discretionary
RCL,royal-caribbean-group,Consumer Discretionary
SPGI,s&p-global,Financials
CRM,salesforce,Information Technology
SBAC,sbammunications,Real Estate
SLB,schlumberger,Energy
STX,seagate-technology,Information Technology
SEE,sealed-air,Materials
SRE,sempra-energy,Utilities
NOW,servicenow,Information Technology
SHW,sherwin-williams,Materials
SPG,simon-property-group,Real Estate
SWKS,skyworks-solutions,Information Technology
SLG,sl-green-realty,Real Estate
SNA,snap-on,Industrials
SO,southern,Utilities
LUV,southwest-airlines,Industrials
SWK,stanley-black-decker,Industrials
SBUX,starbucks,Consumer Discretionary
STT,state-street,Financials
STE,steris,Health Care
SYK,stryker,Health Care
SIVB,svb-financial,Financials
SYF,synchrony-financial,Financials
SNPS,synopsys,Information Technology
SYY,sysco,Consumer Staples
TMUS,t-mobile-us,Communication Services
TROW,t-rowe-price-group,Financials
TTWO,take-two-interactive,Communication Services
TPR,tapestry,Consumer Discretionary
TGT,target,Consumer Discretionary
TEL,tennectivity,Information Technology
FTI,technipfmc,Energy
TDY,teledyne-technologies,Industrials
TFX,teleflex,Health Care
TER,teradyne,Information Technology
TSLA,tesla,Consumer Discretionary
TXN,texas-instruments,Information Technology
TXT,textron,Industrials
TMO,thermo-fisher-scientific,Health Care
TJX,tjxmpanies,Consumer Discretionary
TSCO,tractor-supply,Consumer Discretionary
TT,trane-technologies,Industrials
TDG,transdigm-group,Industrials
TRV,the-travelersmpanies,Financials
TRMB,trimble,Information Technology
TFC,truist-financial,Financials
TWTR,twitter,Communication Services
TYL,tyler-technologies,Information Technology
TSN,tyson-foods,Consumer Staples
UDR,udr,Real Estate
ULTA,ulta-beauty,Consumer Discretionary
USB,us-bancorp,Financials
UAA,under-armour,Consumer Discretionary
UA,under-armour,Consumer Discretionary
UNP,union-pacific,Industrials
UAL,united-airlines-holdings,Industrials
UNH,unitedhealth-group,Health Care
UPS,united-parcel-service,Industrials
URI,united-rentals,Industrials
UHS,universal-health-services,Health Care
UNM,unum-group,Financials
VLO,valero-energy,Energy
VAR,varian-medical-systems,Health Care
VTR,ventas,Real Estate
VRSN,verisign,Information Technology
VRSK,verisk-analytics,Industrials
VZ,verizonmmunications,"Communication Services
"
VRTX,vertex-pharmaceuticals,Health Care
VFC,vf,Consumer Discretionary
VIAC,viacomcbs,Communication Services
VTRS,viatris,Health Care
V,visa,Information Technology
VNT,vontier,Information Technology
VNO,vornado-realty-trust,Real Estate
VMC,vulcan-materials,Materials
WRB,w-r-berkley,Financials
WAB,westinghouse-air-brake-technologies,Industrials
WMT,walmart,Consumer Staples
WBA,walgreens-boots-alliance,Consumer Staples
DIS,the-walt-disney,Communication Services
WM,waste-management,Industrials
WAT,waters,Health Care
WEC,wec-energy-group,Utilities
WFC,wells-fargo,Financials
WELL,welltower,Real Estate
WST,west-pharmaceutical-services,Health Care
WDC,western-digital,Information Technology
WU,western-union,Information Technology
WRK,westrock,Materials
WY,weyerhaeuser,Real Estate
WHR,whirlpool,Consumer Discretionary
WMB,williamsmpanies,Energy
WLTW,willis-towers-watson,Financials
WYNN,wynn-resorts,Consumer Discretionary
XEL,xcel-energy,Utilities
XRX,xerox,Information Technology
XLNX,xilinx,Information Technology
XYL,xylem,Industrials
YUM,yum!-brands,Consumer Discretionary
ZBRA,zebra-technologies,Information Technology
ZBH,zimmer-biomet,Health Care
ZION,zions-bancorp,Financials
ZTS,zoetis,Health Care
